position,name,year,heightwoshoes,heightwshoes,weight,wingspan,reach,bodyfat,handlength,handwidth,nostepvert,nostepvertreach,maxvert,maxvertreach,bench,agility,sprint,rank,drafted,year,age,games,gamesstarted,mp,fg,fga,fgpct,threep,threepa,threeppct,twop,twopa,twoppct,ft,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,tspct,efgpct,ftr,threepar,orbpct,drbpct,trbpct,astpct,stlpct,blkpct,tovpct,usgpct,ortg,drtg,ows,dws,ws,wsp48
F,Hakim Warrick,2005,79.25,80.5,215,86,108,,,,33,141,38,146,11,,3.22,61,19,2009,26,82,7,2029,340,693,0.491,5,23,0.217,335,670,0.5,266,374,0.711,129,277,406,66,48,39,98,170,951,16.9,0.554,0.494,0.54,0.033,7.7,17,12.3,5.9,1.3,1.6,10.3,22,111,110,3,1.7,4.7,0.111
F,Ike Diogu,2005,78.5,80,255,87.5,109,,,,28,137,31,140,21,11.94,3.45,39,9,2009,25,29,1,215,39,74,0.527,1,2,0.5,38,72,0.528,40,53,0.755,26,30,56,3,3,3,12,23,119,20.3,0.611,0.534,0.716,0.027,14.4,16.6,15.5,2.7,0.7,1.1,11,23.2,121,114,0.6,0.1,0.7,0.158
F,Ivan McFarlin,2005,77.5,78.75,229,81,105.5,,,,26.5,132,32,137.5,10,10.64,3.27,35,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jared Homan,2005,79.75,80.75,248,85.25,104.5,,,,,,,,16,,,78,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Jarrett Jack,2005,74.5,75.5,198,79.5,100,,,,26,126,28.5,128.5,5,10.87,3.24,54,22,2009,25,82,53,2716,386,853,0.453,78,221,0.353,308,632,0.487,224,263,0.852,44,232,276,338,88,17,184,179,1074,13.1,0.554,0.498,0.308,0.259,1.8,9.5,5.6,18.6,1.6,0.5,16,18.5,107,111,2.3,1.8,4.1,0.073
,Jason Klotz,2005,80.5,81.75,249,82,107.5,,,,21.5,129,27,134.5,12,13.13,3.68,76,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Jason Maxiell,2005,77,78.25,258,87.25,107,,,,,,,,,,,85,26,2009,25,78,4,1408,184,320,0.575,0,1,0,184,319,0.577,84,158,0.532,169,155,324,24,25,63,45,157,452,15.8,0.58,0.575,0.494,0.003,14,13.2,13.7,2.8,1,3.5,10.4,14.7,120,108,2.6,1.5,4.1,0.141
F,Jawad Williams,2005,79,80,218,85.25,106.5,,,,28,134.5,34,140.5,15,11.39,3.23,22,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Joey Graham,2005,77.25,78.5,217,80,104,,,,30,134,36,140,26,10.62,3.05,1,16,2009,26,78,10,1541,231,480,0.481,3,16,0.188,228,464,0.491,132,160,0.825,95,197,292,48,35,12,74,191,597,11.9,0.542,0.484,0.333,0.033,7.3,14.9,11.1,5,1.2,0.6,11.9,18.7,106,111,1.1,1.1,2.2,0.068
,John Gilchrist,2005,73.25,74.5,195,81.25,96.5,,,,30.5,127,36.5,133,12,11.48,3.15,14,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
