position,name,combineyear,heightwoshoes,heightwshoes,weight,wingspan,reach,bodyfat,handlength,handwidth,nostepvert,nostepvertreach,maxvert,maxvertreach,bench,agility,sprint,rank,drafted,year,age,games,gamesstarted,mp,fg,fga,fgpct,threep,threepa,threeppct,twop,twopa,twoppct,ft,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,tspct,efgpct,ftr,threepar,orbpct,drbpct,trbpct,astpct,stlpct,blkpct,tovpct,usgpct,ortg,drtg,ows,dws,ws,wsp48
F,Terrance Roberson,2000,77.5,79,209,80,103.5,,,,29,132.5,32.5,136,11,11.66,,42,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vassil Evtimov,2000,81.75,82.5,262,82.5,106.5,,,,21,127.5,28.5,135,13,11.75,3.52,50,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adam Allenspach,2001,83.5,85.25,259,84.5,107,,,,28.5,135.5,31,138,16,11.9,3.4,46,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Alton Ford,2001,80.25,81,271,82.5,102.5,,,,34.5,137,36.5,139,21,11.7,3.16,11,50,2003,21,11,0,31,3,9,0.333,0,0,,3,9,0.333,1,3,0.333,0,6,6,1,0,0,2,7,7,-2.2,0.339,0.333,0.333,0,0,22.1,10.9,4.9,0,0,16.2,17.8,64,104,-0.1,0,-0.1,-0.113
,Andre Hutson,2001,80.25,80.25,244,83.75,105.5,,,,29,134.5,32.5,138,17,11.25,3.3,25,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anthony Evans,2001,78,79.25,267,83.5,101.5,,,,31.5,133,33,134.5,18,12.56,3.31,42,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Benjamin Eze,2001,80.75,81.75,232,90,109,,,,29,138,32,141,14,13.05,3.36,55,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-F,Bobby Simmons,2001,78.25,79.5,235,84.25,105,,,,27.5,132.5,34,139,12,11.69,3.41,48,41,2003,22,36,2,378,44,112,0.393,0,5,0,44,107,0.411,32,35,0.914,33,44,77,20,10,3,8,51,120,13,0.471,0.393,0.313,0.045,10.3,13.8,12,8.9,1.4,0.6,5.9,16.9,110,106,0.6,0.3,0.9,0.111
G,Brandon Armstrong,2001,75.5,76.5,188,81.5,99.5,,,,30,129.5,37,136.5,6,10.91,3.2,26,23,2003,22,17,0,69,9,27,0.333,1,6,0.167,8,21,0.381,5,6,0.833,0,4,4,2,3,1,5,8,24,3.9,0.405,0.352,0.222,0.222,0,6.6,3.3,4.8,2.3,1.1,14.4,22.6,76,100,-0.2,0.1,-0.1,-0.05
C,Brendan Haywood,2001,83.75,85.5,266,90.5,113.5,,,,27,140.5,28.5,142,17,12.87,3.5,63,20,2003,23,81,69,1930,173,339,0.51,0,0,,173,339,0.51,155,245,0.633,192,212,404,29,32,119,65,225,501,13.5,0.561,0.51,0.723,0,11.7,13,12.4,2.4,0.9,4.6,12.7,12.5,115,104,3.1,1.9,5,0.125
,Brent Wright,2001,79.75,,236,85.5,105.5,,,,23,128.5,29,134.5,19,12.25,3.3,52,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Brian Scalabrine,2001,80.75,82.25,241,81.75,105.5,,,,27,132.5,30.5,136,14,11.75,3.47,54,34,2003,24,59,7,724,68,169,0.402,14,39,0.359,54,130,0.415,30,36,0.833,40,101,141,46,16,18,46,77,180,8.9,0.487,0.444,0.213,0.231,6.3,15.9,11.1,9.9,1.2,1.9,19.9,14.4,93,99,-0.1,1.2,1,0.068
,Calvin Bowman,2001,80.75,80.75,214,83.5,104,,,,28.5,132.5,34.5,138.5,7,11.96,3.21,50,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Charles Hathaway,2001,80,81.5,274,86,107.5,,,,,,,,,,,80,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Charlie Bell,2001,74.5,74.5,200,79.5,97.5,,,,31.5,129,38,135.5,15,10.59,3.12,3,No,2006,26,59,6,1283,180,410,0.439,71,168,0.423,109,242,0.45,63,89,0.708,21,99,120,130,59,5,41,126,494,14.7,0.55,0.526,0.217,0.41,1.9,9.3,5.6,16.6,2.4,0.3,8.4,17.5,114,108,2.2,1.1,3.3,0.123
,Cookie Belcher,2001,75,76.25,206,80.5,99,,,,35,134,41.5,140.5,7,11.26,2.91,10,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Damone Brown,2001,80.25,81.5,202,83.75,104.5,,,,32,136.5,37,141.5,6,11.81,3.27,45,36,2003,23,5,3,115,11,35,0.314,0,2,0,11,33,0.333,6,8,0.75,3,12,15,3,1,0,6,14,28,1.6,0.363,0.314,0.229,0.057,2.9,12.4,7.4,4.2,0.5,0,13.5,17.7,74,111,-0.3,0,-0.2,-0.102
,Damone Thornton,2001,78.75,79.75,235,85.75,103.75,,,,33.5,137.25,37.5,141.25,19,11.17,3.2,4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Darrell Johns,2001,83.25,84.5,278,89,111.5,,,,23.5,135,30,141.5,18,12.41,3.59,64,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Darren Kelly,2001,74,75.5,178,78.75,100,,,,30.5,130.5,34.5,134.5,1,11.38,3.21,43,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DeMarcus Minor,2001,75.25,76.5,207,80.25,99.5,,,,29,128.5,41,140.5,9,10.57,3.15,16,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,DeSagana Diop,2001,82,83.25,314,90.5,113,,,,21.5,134.5,25.5,138.5,15,12.37,3.56,72,8,2003,21,80,1,943,54,154,0.351,0,0,,54,154,0.351,11,30,0.367,63,152,215,43,33,81,56,148,119,6.7,0.356,0.351,0.195,0,7.3,18.4,12.8,6.9,1.8,6.1,25.1,10.3,74,102,-1.4,1.2,-0.2,-0.012
,Demetrius Porter,2001,70.75,71.5,178,74.75,94,,,,26,120,31,125,5,11.5,3.34,60,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Earl Watson,2001,72,73.25,184,78.75,97,,,,32.5,129.5,37.5,134.5,4,10.97,3.19,23,39,2003,23,79,2,1366,170,391,0.435,31,91,0.341,139,300,0.463,62,86,0.721,46,118,164,225,89,14,88,138,433,14.6,0.505,0.474,0.22,0.233,3.8,9.6,6.7,25.7,3.4,0.7,17,17,103,106,1.3,1,2.3,0.08
F,Eddie Griffin,2001,81.25,82.25,222,87,110,,,,26.5,136.5,33,143,3,11.77,3.21,58,7,2003,20,77,66,1890,271,678,0.4,64,192,0.333,207,486,0.426,58,94,0.617,138,323,461,86,52,111,76,136,664,15.4,0.462,0.447,0.139,0.283,8.6,19.2,14,8,1.5,4.2,9.6,19.4,100,100,1,2.9,3.9,0.1
C,Eddy Curry,2001,82.5,,301,90.5,111,,,,28,139,31,142,16,12.25,3.53,59,4,2003,20,81,48,1571,335,573,0.585,0,0,,335,573,0.585,179,287,0.624,116,237,353,37,18,62,137,226,849,17.5,0.607,0.585,0.501,0,8.3,16.4,12.4,4.4,0.6,2.9,16.4,23.6,106,106,2.3,1.1,3.5,0.107
,Eric Chenowith,2001,85,86,264,88,111,,,,23.5,134.5,27.5,138.5,6,12.5,3.59,76,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Gilbert Arenas,2001,74.25,,199,81.5,99.5,,,,31.5,131,36,135.5,12,,3.25,47,30,2003,21,82,82,2866,509,1180,0.431,109,313,0.348,400,867,0.461,370,468,0.791,97,289,386,514,124,17,290,260,1497,18.6,0.54,0.478,0.397,0.265,3.6,10.6,7.2,30,2.2,0.4,17.3,24.9,108,110,5.8,0.7,6.5,0.109
,Greg Stevenson,2001,75.75,76.75,215,84.5,102,,,,30,132,35.5,137.5,15,11.29,3.23,20,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gyasi Cline-Heard,2001,78.25,79.75,231,83.5,103,,,,31.5,134.5,34.5,137.5,11,11.4,3.23,34,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Horace Jenkins,2001,71.75,73,171,77.25,97,,,,34.5,131.5,41,138,2,10.97,3.1,17,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Jamaal Tinsley,2001,72.75,74,199,79.5,97.5,,,,28,125.5,37.5,135,1,11.96,3.2,53,27,2003,24,73,69,2237,220,556,0.396,46,166,0.277,174,390,0.446,80,112,0.714,58,202,260,548,125,18,192,201,566,13.4,0.468,0.437,0.201,0.299,3,9.9,6.5,38.7,2.9,0.6,24.1,16.1,98,101,0.6,3.1,3.7,0.079
