"playerID","yearID","stint","teamID","lgID","G","G_batting","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","G_old","POS","AS"
"adamsbo03",1947,1,"CIN","NL",81,81,217,39,59,11,2,4,20,9,NA,25,23,NA,4,7,NA,2,81,"2B",FALSE
"adamsbo03",1948,1,"CIN","NL",87,87,262,33,78,20,3,1,21,6,NA,25,23,NA,1,7,NA,5,87,"2B",FALSE
"adamsbo03",1949,1,"CIN","NL",107,107,277,32,70,16,2,0,25,4,NA,26,36,NA,0,5,NA,6,107,"2B",FALSE
"adamsbo03",1950,1,"CIN","NL",115,115,348,57,98,21,8,3,25,7,NA,43,29,NA,0,3,NA,2,115,"2B",FALSE
"adamsbo03",1951,1,"CIN","NL",125,125,403,57,107,12,5,5,24,4,10,43,40,NA,1,3,NA,6,125,"3B",FALSE
"adamsbo03",1952,1,"CIN","NL",154,154,637,85,180,25,4,6,48,11,9,49,67,NA,0,8,NA,15,154,"3B",FALSE
"adamsbo03",1953,1,"CIN","NL",150,150,607,99,167,14,6,8,49,3,2,58,67,NA,0,12,NA,7,150,"3B",FALSE
"adamsbo03",1954,1,"CIN","NL",110,110,390,69,105,25,6,3,23,2,5,55,46,NA,3,4,2,4,110,"3B",FALSE
"adamsbo03",1955,1,"CIN","NL",64,64,150,23,41,11,2,2,20,2,0,20,21,1,3,2,1,3,64,"3B",FALSE
"adamsbo03",1955,2,"CHA","AL",28,28,21,8,2,0,1,0,3,0,0,4,4,0,0,0,0,0,28,"3B",FALSE
"adamsbo03",1956,1,"BAL","AL",41,41,111,19,25,6,1,0,7,1,1,25,15,0,0,5,2,1,41,"3B",FALSE
"adamsbo03",1957,1,"CHN","NL",60,60,187,21,47,10,2,1,10,0,3,17,28,0,2,5,0,2,60,"3B",FALSE
"adamsbo03",1958,1,"CHN","NL",62,62,96,14,27,4,4,0,4,2,0,6,15,0,0,3,0,2,62,"1B",FALSE
"adamsbu01",1943,1,"SLN","NL",8,8,11,1,1,1,0,0,1,0,NA,4,4,NA,0,3,NA,0,8,"OF",FALSE
"adamsbu01",1943,2,"PHI","NL",111,111,418,48,107,14,7,4,38,2,NA,39,67,NA,0,9,NA,8,111,"OF",FALSE
